t	F	F_Cor	x						
0,00	380	3800	0,001176517						
1,00	380	3800	0,000000000						
2,00	380	3800	0,000098808						
3,00	380	3800	0,000316792						
4,00	380	3800	-0,000167766						
5,00	380	3800	0,000347295						
6,00	380	3800	0,000637766						
7,00	380	3800	0,000546309						
8,00	380	3800	0,000398607						
9,00	380	3800	0,000534289						
10,00	380	3800	0,000352791						
11,00	380	3800	0,000812120						
12,00	380	3800	0,000558385						
13,00	380	3800	0,000604017						
14,00	390	3900	0,003531465						
15,00	480	4800	0,006102705						
16,00	520	5200	0,010256670						
17,00	630	6300	0,012983330						
18,00	750	7500	0,013212090						
19,00	820	8200	0,012649230						
20,00	840	8400	0,012138760						
21,00	840	8400	0,011756330						
22,00	850	8500	0,011457510						
23,00	850	8500	0,011401140						
24,00	850	8500	0,011121620						
25,00	850	8500	0,010832840						
26,00	850	8500	0,010825710						
27,00	840	8400	0,010751310						
28,00	840	8400	0,010944220						
29,00	840	8400	0,010847640						
30,00	840	8400	0,010942070						
31,00	860	8600	0,013793220						
32,00	900	9000	0,017082330						
33,00	1090	10900	0,021814790						
34,00	1160	11600	0,025114560						
35,00	1230	12300	0,024558900						
36,00	1290	12900	0,023716220						
37,00	1300	13000	0,022913420						
38,00	1310	13100	0,022959390						
39,00	1320	13200	0,023114300						
40,00	1320	13200	0,022730620						
41,00	1320	13200	0,022661490						
42,00	1320	13200	0,021936160						
43,00	1310	13100	0,022222160						
44,00	1310	13100	0,022121680						
45,00	1310	13100	0,023032500						
46,00	1310	13100	0,023641340						
47,00	1310	13100	0,022657230						
48,00	1310	13100	0,022369650						
49,00	1310	13100	0,022305160						
50,00	1310	13100	0,022291620						
51,00	1310	13100	0,023525300						
52,00	1350	13500	0,027074590						
53,00	1450	14500	0,031080180						
54,00	1600	16000	0,034475040						
55,00	1660	16600	0,038547880						
56,00	1790	17900	0,039429280						
57,00	1830	18300	0,039614690						
58,00	1830	18300	0,040198540						
59,00	1840	18400	0,040363490						
60,00	1840	18400	0,040982890						
61,00	1840	18400	0,040808350						
62,00	1840	18400	0,040713520						
63,00	1840	18400	0,041282700						
64,00	1840	18400	0,041201560						
65,00	1840	18400	0,041244260						
66,00	1830	18300	0,041575240						
67,00	1830	18300	0,041373220						
68,00	1830	18300	0,041333170						
69,00	1830	18300	0,041474310						
70,00	1830	18300	0,041389110						
71,00	1830	18300	0,041092700						
72,00	1830	18300	0,041405560						
73,00	1830	18300	0,041294170						
74,00	1830	18300	0,041059110						
75,00	1830	18300	0,041385000						
76,00	1830	18300	0,041321620						
77,00	1910	19100	0,043469960						
78,00	1920	19200	0,043109470						
79,00	1930	19300	0,042783300						
80,00	1930	19300	0,042415770						
81,00	1950	19500	0,042242980						
82,00	2010	20100	0,042538950						
83,00	2020	20200	0,044509040						
84,00	2030	20300	0,044020080						
85,00	2030	20300	0,043505640						
86,00	2030	20300	0,043294310						
87,00	2030	20300	0,042850490						
88,00	2030	20300	0,042716800						
89,00	2030	20300	0,044390020						
90,00	2100	21000	0,045939290						
91,00	2160	21600	0,045179110						
92,00	2170	21700	0,044581610						
93,00	2180	21800	0,045398740						
94,00	2240	22400	0,047791250						
95,00	2270	22700	0,049145650						
96,00	2300	23000	0,049860490						
97,00	2300	23000	0,050733520						
98,00	2310	23100	0,052212590						
99,00	2320	23200	0,052237180						
100,00	2330	23300	0,052852200						
101,00	2330	23300	0,052644680						
102,00	2330	23300	0,053925060						
103,00	2370	23700	0,057483940						
104,00	2420	24200	0,057779290						
105,00	2450	24500	0,058657290						
106,00	2460	24600	0,059520670						
107,00	2470	24700	0,061952370						
108,00	2500	25000	0,062107060						
109,00	2510	25100	0,061547980						
110,00	2520	25200	0,062128750						
111,00	2520	25200	0,061885280						
112,00	2520	25200	0,064122230						
113,00	2560	25600	0,063552400						
114,00	2580	25800	0,063700480						
115,00	2590	25900	0,063097680						
116,00	2590	25900	0,065036820						
117,00	2670	26700	0,066271320						
118,00	2700	27000	0,065286250						
119,00	2720	27200	0,064882620						
120,00	2780	27800	0,065895640						
121,00	2760	27600	0,069258880						
122,00	2840	28400	0,069825210						
123,00	2860	28600	0,070732330						
124,00	2870	28700	0,070859390						
125,00	2870	28700	0,070949700						
126,00	2870	28700	0,071154330						
127,00	2890	28900	0,075291180						
