x y z
0,20207 0 0
-0,10104 0 0,175
-0,10104 0 -0,175
0,20207 0,085 0
-0,10104 0,085 0,175
0,20207 0,1 0
-0,10104 0,1 0,175
-0,10104 0,085 -0,175
-0,10104 0,1 -0,175
0,20207 0,390 0
0,20207 0,405 0
0,20207 0,420 0
-0,10104 0,390 0,175
-0,10104 0,405 0,175
-0,10104 0,420 0,175
-0,10104 0,390 -0,175
-0,10104 0,405 -0,175
-0,10104 0,420 -0,175
0,20207 0,710 0
0,20207 0,725 0
-0,10104 0,710 0,175
-0,10104 0,725 0,175
-0,10104 0,710 -0,175
-0,10104 0,725 -0,175
0,20207 0,810 0
-0,10104 0,810 -0,175
-0,10104 0,810 0,175
