NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
          1.     -0.27559306E+06      0.22763004E-12     -0.76394906E+05      0.22545733E-12     -0.52866608E-16     -0.51909241E+02
          2.     -0.27559306E+06      0.22742778E-12     -0.75848188E+05      0.23054746E-12      0.27983607E-15     -0.21510887E+03
          3.     -0.27559306E+06      0.22723445E-12     -0.75286055E+05      0.23559380E-12      0.61208162E-15     -0.37828534E+03
          4.     -0.27559306E+06      0.22704957E-12     -0.74708633E+05      0.24059544E-12      0.94356802E-15     -0.54137677E+03
          5.     -0.27559303E+06      0.22687269E-12     -0.74116023E+05      0.24555154E-12      0.12739958E-14     -0.70432172E+03
          6.     -0.27559303E+06      0.22670334E-12     -0.73508352E+05      0.25046127E-12      0.16030679E-14     -0.86705878E+03
          7.     -0.27559300E+06      0.22654104E-12     -0.72885742E+05      0.25532376E-12      0.19304902E-14     -0.10295270E+04
          8.     -0.27559297E+06      0.22638530E-12     -0.72248320E+05      0.26013816E-12      0.22559710E-14     -0.11916658E+04
          9.     -0.27559294E+06      0.22623562E-12     -0.71596219E+05      0.26490366E-12      0.25792221E-14     -0.13534148E+04
         10.     -0.27559291E+06      0.22609147E-12     -0.70929570E+05      0.26961948E-12      0.28999581E-14     -0.15147141E+04
         11.     -0.27559288E+06      0.22595235E-12     -0.70248508E+05      0.27428472E-12      0.32178968E-14     -0.16755040E+04
         12.     -0.27559281E+06      0.22581774E-12     -0.69553164E+05      0.27889868E-12      0.35327595E-14     -0.18357255E+04
         13.     -0.27559278E+06      0.22568706E-12     -0.68843695E+05      0.28346048E-12      0.38442709E-14     -0.19953195E+04
         14.     -0.27559272E+06      0.22555981E-12     -0.68120234E+05      0.28796938E-12      0.41521593E-14     -0.21542278E+04
         15.     -0.27559266E+06      0.22543538E-12     -0.67382930E+05      0.29242461E-12      0.44561565E-14     -0.23123926E+04
         16.     -0.27559259E+06      0.22531324E-12     -0.66631930E+05      0.29682542E-12      0.47559981E-14     -0.24697561E+04
         17.     -0.27559253E+06      0.22519280E-12     -0.65867391E+05      0.30117101E-12      0.50514246E-14     -0.26262615E+04
         18.     -0.27559247E+06      0.22507347E-12     -0.65089461E+05      0.30546065E-12      0.53421792E-14     -0.27818523E+04
