NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
          1.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
          2.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
          3.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
          4.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
          5.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
          6.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
          7.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
          8.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
          9.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         10.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         11.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         12.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         13.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         14.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         15.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         16.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         17.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         18.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         19.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         20.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         21.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         22.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         23.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         24.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         25.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         26.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         27.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         28.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         29.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         30.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         31.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         32.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         33.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         34.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         35.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         36.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         37.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         38.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         39.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         40.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         41.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         42.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         43.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         44.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         45.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         46.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         47.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         48.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         49.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         50.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         51.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         52.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         53.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         54.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         55.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         56.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         57.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         58.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         59.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         60.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         61.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         62.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         63.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         64.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         65.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         66.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         67.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         68.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         69.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         70.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         71.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         72.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         73.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         74.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         75.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         76.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         77.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         78.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         79.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         80.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         81.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
         82.      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30      0.78886091E-30
