NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
          1.     -0.49750131E+03     -0.86788258E-14      0.25078235E+04     -0.43150497E-14      0.15197007E-16      0.56517982E+01
          2.     -0.49750131E+03     -0.86199858E-14      0.24513049E+04     -0.43159823E-14      0.15196926E-16      0.56519136E+01
          3.     -0.49750128E+03     -0.85611526E-14      0.23947852E+04     -0.43168933E-14      0.15196858E-16      0.56520262E+01
          4.     -0.49750128E+03     -0.85023244E-14      0.23382646E+04     -0.43177826E-14      0.15196800E-16      0.56521363E+01
          5.     -0.49750128E+03     -0.84435031E-14      0.22817427E+04     -0.43186508E-14      0.15196754E-16      0.56522436E+01
          6.     -0.49750128E+03     -0.83846868E-14      0.22252200E+04     -0.43194979E-14      0.15196719E-16      0.56523480E+01
          7.     -0.49750125E+03     -0.83258756E-14      0.21686963E+04     -0.43203237E-14      0.15196694E-16      0.56524501E+01
          8.     -0.49750125E+03     -0.82670695E-14      0.21121716E+04     -0.43211280E-14      0.15196683E-16      0.56525497E+01
          9.     -0.49750122E+03     -0.82082676E-14      0.20556458E+04     -0.43219107E-14      0.15196702E-16      0.56526465E+01
         10.     -0.49750122E+03     -0.81494709E-14      0.19991193E+04     -0.43226726E-14      0.15196719E-16      0.56527410E+01
         11.     -0.49750122E+03     -0.80906783E-14      0.19425918E+04     -0.43234129E-14      0.15196747E-16      0.56528325E+01
         12.     -0.49750119E+03     -0.80318891E-14      0.18860635E+04     -0.43241316E-14      0.15196787E-16      0.56529212E+01
         13.     -0.49750119E+03     -0.79731042E-14      0.18295342E+04     -0.43248291E-14      0.15196840E-16      0.56530075E+01
         14.     -0.49750116E+03     -0.79143226E-14      0.17730043E+04     -0.43255055E-14      0.15196904E-16      0.56530914E+01
         15.     -0.49750116E+03     -0.78555436E-14      0.17164734E+04     -0.43261606E-14      0.15196980E-16      0.56531725E+01
         16.     -0.49750113E+03     -0.77967680E-14      0.16599419E+04     -0.43267942E-14      0.15197068E-16      0.56532512E+01
         17.     -0.49750110E+03     -0.77379950E-14      0.16034095E+04     -0.43274066E-14      0.15197167E-16      0.56533270E+01
         18.     -0.49750110E+03     -0.76792244E-14      0.15468766E+04     -0.43279979E-14      0.15197280E-16      0.56533999E+01
         19.     -0.49750107E+03     -0.76204564E-14      0.14903428E+04     -0.43285679E-14      0.15197404E-16      0.56534705E+01
         20.     -0.49750107E+03     -0.75616893E-14      0.14338085E+04     -0.43291164E-14      0.15197540E-16      0.56535387E+01
