NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
          1.     -0.25308975E+04      0.18533629E+04     -0.20543564E+05     -0.24003679E+03     -0.24194684E+01     -0.14087785E+02
          2.     -0.25308975E+04      0.18291663E+04     -0.20402664E+05     -0.24003679E+03     -0.24199088E+01     -0.14092653E+02
          3.     -0.25308972E+04      0.18049653E+04     -0.20261715E+05     -0.24003677E+03     -0.24203439E+01     -0.14097488E+02
          4.     -0.25308967E+04      0.17807603E+04     -0.20120721E+05     -0.24003677E+03     -0.24207735E+01     -0.14102290E+02
          5.     -0.25308962E+04      0.17565511E+04     -0.19979680E+05     -0.24003677E+03     -0.24211977E+01     -0.14107058E+02
          6.     -0.25308958E+04      0.17323379E+04     -0.19838594E+05     -0.24003676E+03     -0.24216163E+01     -0.14111792E+02
          7.     -0.25308950E+04      0.17081207E+04     -0.19697463E+05     -0.24003676E+03     -0.24220295E+01     -0.14116491E+02
          8.     -0.25308943E+04      0.16838995E+04     -0.19556285E+05     -0.24003674E+03     -0.24224372E+01     -0.14121159E+02
          9.     -0.25308936E+04      0.16596744E+04     -0.19415064E+05     -0.24003673E+03     -0.24228394E+01     -0.14125791E+02
         10.     -0.25308923E+04      0.16354456E+04     -0.19273799E+05     -0.24003671E+03     -0.24232361E+01     -0.14130390E+02
         11.     -0.25308914E+04      0.16112129E+04     -0.19132488E+05     -0.24003670E+03     -0.24236274E+01     -0.14134955E+02
         12.     -0.25308901E+04      0.15869766E+04     -0.18991135E+05     -0.24003668E+03     -0.24240131E+01     -0.14139486E+02
         13.     -0.25308889E+04      0.15627366E+04     -0.18849738E+05     -0.24003667E+03     -0.24243934E+01     -0.14143984E+02
         14.     -0.25308875E+04      0.15384929E+04     -0.18708297E+05     -0.24003664E+03     -0.24247682E+01     -0.14148448E+02
         15.     -0.25308860E+04      0.15142457E+04     -0.18566814E+05     -0.24003662E+03     -0.24251375E+01     -0.14152878E+02
         16.     -0.25308845E+04      0.14899951E+04     -0.18425289E+05     -0.24003659E+03     -0.24255013E+01     -0.14157274E+02
         17.     -0.25308828E+04      0.14657410E+04     -0.18283721E+05     -0.24003658E+03     -0.24258597E+01     -0.14161637E+02
         18.     -0.25308811E+04      0.14414835E+04     -0.18142111E+05     -0.24003654E+03     -0.24262123E+01     -0.14165966E+02
         19.     -0.25308794E+04      0.14172227E+04     -0.18000461E+05     -0.24003651E+03     -0.24265597E+01     -0.14170260E+02
         20.     -0.25308774E+04      0.13929585E+04     -0.17858768E+05     -0.24003648E+03     -0.24269013E+01     -0.14174521E+02
         21.     -0.25308755E+04      0.13686913E+04     -0.17717035E+05     -0.24003645E+03     -0.24272375E+01     -0.14178749E+02
         22.     -0.25308735E+04      0.13444208E+04     -0.17575262E+05     -0.24003641E+03     -0.24275682E+01     -0.14182942E+02
         23.     -0.25308713E+04      0.13201472E+04     -0.17433447E+05     -0.24003638E+03     -0.24278934E+01     -0.14187102E+02
         24.     -0.25308694E+04      0.12958706E+04     -0.17291594E+05     -0.24003633E+03     -0.24282131E+01     -0.14191228E+02
         25.     -0.25308669E+04      0.12715911E+04     -0.17149701E+05     -0.24003630E+03     -0.24285271E+01     -0.14195319E+02
         26.     -0.25308647E+04      0.12473085E+04     -0.17007768E+05     -0.24003625E+03     -0.24288356E+01     -0.14199378E+02
         27.     -0.25308623E+04      0.12230231E+04     -0.16865797E+05     -0.24003621E+03     -0.24291387E+01     -0.14203402E+02
         28.     -0.25308599E+04      0.11987349E+04     -0.16723787E+05     -0.24003616E+03     -0.24294360E+01     -0.14207392E+02
         29.     -0.25308574E+04      0.11744438E+04     -0.16581738E+05     -0.24003612E+03     -0.24297278E+01     -0.14211349E+02
         30.     -0.25308550E+04      0.11501501E+04     -0.16439652E+05     -0.24003607E+03     -0.24300141E+01     -0.14215271E+02
         31.     -0.25308523E+04      0.11258538E+04     -0.16297528E+05     -0.24003603E+03     -0.24302948E+01     -0.14219160E+02
         32.     -0.25308496E+04      0.11015548E+04     -0.16155367E+05     -0.24003596E+03     -0.24305701E+01     -0.14223015E+02
         33.     -0.25308469E+04      0.10772533E+04     -0.16013170E+05     -0.24003592E+03     -0.24308395E+01     -0.14226835E+02
         34.     -0.25308442E+04      0.10529493E+04     -0.15870935E+05     -0.24003586E+03     -0.24311037E+01     -0.14230622E+02
         35.     -0.25308413E+04      0.10286428E+04     -0.15728664E+05     -0.24003581E+03     -0.24313622E+01     -0.14234376E+02
         36.     -0.25308386E+04      0.10043340E+04     -0.15586357E+05     -0.24003575E+03     -0.24316149E+01     -0.14238095E+02
         37.     -0.25308357E+04      0.98002295E+03     -0.15444015E+05     -0.24003569E+03     -0.24318621E+01     -0.14241780E+02
         38.     -0.25308328E+04      0.95570959E+03     -0.15301638E+05     -0.24003563E+03     -0.24321039E+01     -0.14245432E+02
         39.     -0.25308298E+04      0.93139398E+03     -0.15159225E+05     -0.24003557E+03     -0.24323399E+01     -0.14249049E+02
         40.     -0.25308267E+04      0.90707623E+03     -0.15016777E+05     -0.24003549E+03     -0.24325705E+01     -0.14252632E+02
         41.     -0.25308237E+04      0.88275641E+03     -0.14874296E+05     -0.24003543E+03     -0.24327953E+01     -0.14256182E+02
         42.     -0.25308206E+04      0.85843457E+03     -0.14731780E+05     -0.24003537E+03     -0.24330144E+01     -0.14259698E+02
         43.     -0.25308176E+04      0.83411072E+03     -0.14589230E+05     -0.24003529E+03     -0.24332283E+01     -0.14263180E+02
         44.     -0.25308145E+04      0.80978491E+03     -0.14446647E+05     -0.24003522E+03     -0.24334362E+01     -0.14266627E+02
         45.     -0.25308113E+04      0.78545728E+03     -0.14304032E+05     -0.24003516E+03     -0.24336386E+01     -0.14270041E+02
         46.     -0.25308081E+04      0.76112781E+03     -0.14161384E+05     -0.24003508E+03     -0.24338353E+01     -0.14273421E+02
         47.     -0.25308047E+04      0.73679663E+03     -0.14018703E+05     -0.24003500E+03     -0.24340265E+01     -0.14276767E+02
         48.     -0.25308015E+04      0.71246368E+03     -0.13875990E+05     -0.24003491E+03     -0.24342120E+01     -0.14280079E+02
         49.     -0.25307983E+04      0.68812909E+03     -0.13733246E+05     -0.24003484E+03     -0.24343920E+01     -0.14283357E+02
         50.     -0.25307949E+04      0.66379297E+03     -0.13590470E+05     -0.24003476E+03     -0.24345663E+01     -0.14286601E+02
         51.     -0.25307915E+04      0.63945526E+03     -0.13447663E+05     -0.24003467E+03     -0.24347348E+01     -0.14289811E+02
         52.     -0.25307883E+04      0.61511609E+03     -0.13304825E+05     -0.24003459E+03     -0.24348977E+01     -0.14292987E+02
         53.     -0.25307849E+04      0.59077551E+03     -0.13161957E+05     -0.24003450E+03     -0.24350550E+01     -0.14296129E+02
         54.     -0.25307815E+04      0.56643353E+03     -0.13019059E+05     -0.24003441E+03     -0.24352067E+01     -0.14299237E+02
