x-directional deformation,load,time
0.3395,99.994,0.00099994
0.67908,199.99,0.0019999
1.1885,349.95,0.0034995
1.9529,574.85,0.0057485
2.5263,743.48,0.0074348
3.0998,912.07,0.0091207
3.9603,1164.9,0.011649
4.6059,1354.4,0.013544
5.2516,1544,0.01544
5.7359,1686.1,0.016861
6.2204,1828.1,0.018281
6.9472,2041.2,0.020412
7.4925,2201,0.02201
8.0378,2360.7,0.023607
8.8561,2600.2,0.026002
9.1833,2696,0.02696
9.5105,2791.7,0.027917
9.8378,2887.4,0.028874
10.329,3031,0.03031
10.697,3138.7,0.031387
11.065,3246.3,0.032463
11.618,3407.7,0.034077
12.033,3528.8,0.035288
12.447,3649.8,0.036498
13.069,3831.3,0.038313
13.536,3967.5,0.039675
14.002,4103.5,0.041035
14.703,4307.6,0.043076
15.228,4460.6,0.044606
15.753,4613.6,0.046136
16.541,4843.1,0.048431
17.133,5015.1,0.050151
17.724,5187.1,0.051871
18.611,5445,0.05445
19.277,5638.4,0.056384
19.943,5831.7,0.058317
20.609,6025,0.06025
21.275,6218.3,0.062183
22.274,6508,0.06508
23.024,6725.3,0.067253
23.173,6768.4,0.067684
23.322,6811.6,0.068116
23.546,6876.3,0.068763
23.881,6973.4,0.069734
24.384,7119,0.07119
25.139,7337.4,0.073374
25.705,7501.1,0.075011
26.271,7664.8,0.076648
27.121,7910.3,0.079103
27.463,8009.1,0.080091
27.713,8081,0.08081
27.962,8153,0.08153
28.336,8260.9,0.082609
28.897,8422.7,0.084227
29.317,8544.1,0.085441
29.738,8665.4,0.086654
30.369,8847.3,0.088473
30.843,8983.8,0.089838
31.317,9120.2,0.091202
32.027,9324.8,0.093248
32.56,9478.2,0.094782
33.094,9631.5,0.096315
33.894,9861.5,0.098615
34.494,10034,0.10034
35.094,10206,0.10206
35.995,10465,0.10465
36.67,10659,0.10659
37.008,10756,0.10756
37.346,10853,0.10853
37.853,10998,0.10998
38.233,11107,0.11107
38.613,11216,0.11216
39.184,11379,0.11379
39.612,11502,0.11502
40.04,11624,0.11624
40.682,11808,0.11808
41.164,11946,0.11946
41.646,12083,0.12083
42.369,12290,0.1229
43.092,12497,0.12497
43.815,12703,0.12703
44.538,12909,0.12909
45.262,13116,0.13116
46.347,13425,0.13425
46.89,13580,0.1358
47.162,13657,0.13657
47.433,13734,0.13734
47.705,13812,0.13812
47.976,13889,0.13889
48.248,13966,0.13966
48.655,14082,0.14082
49.267,14256,0.14256
49.878,14430,0.1443
50.49,14604,0.14604
51.101,14777,0.14777
51.713,14951,0.14951
52.631,15211,0.15211
53.549,15472,0.15472
54.468,15732,0.15732
55.386,15992,0.15992
56.305,16252,0.16252
56.697,16363,0.16363
57.088,16474,0.16474
57.48,16585,0.16585
57.872,16695,0.16695
58.263,16806,0.16806
58.851,16972,0.16972
59.439,17138,0.17138
60.027,17304,0.17304
60.615,17470,0.1747
61.203,17636,0.17636
62.085,17884,0.17884
62.968,18133,0.18133
63.85,18381,0.18381
64.734,18630,0.1863
65.617,18878,0.18878
66.942,19251,0.19251
67.135,19305,0.19305
67.327,19359,0.19359
67.52,19413,0.19413
67.712,19467,0.19467
68.001,19548,0.19548
68.435,19670,0.1967
68.868,19791,0.19791
69.301,19913,0.19913
69.735,20034,0.20034
70.169,20156,0.20156
70.819,20338,0.20338
71.47,20520,0.2052
72.12,20703,0.20703
72.771,20885,0.20885
73.422,21067,0.21067
74.399,21340,0.2134
75.376,21613,0.21613
76.353,21885,0.21885
77.331,22158,0.22158
78.309,22431,0.22431
79.776,22840,0.2284
80.51,23044,0.23044
81.034,23190,0.2319
81.559,23336,0.23336
82.083,23481,0.23481
82.608,23627,0.23627
83.132,23773,0.23773
83.919,23991,0.23991
84.706,24210,0.2421
85.494,24428,0.24428
86.281,24647,0.24647
87.069,24865,0.24865
88.251,25192,0.25192
88.842,25356,0.25356
89.138,25438,0.25438
89.433,25519,0.25519
89.729,25601,0.25601
90.025,25683,0.25683
90.32,25765,0.25765
90.764,25887,0.25887
91.208,26010,0.2601
91.651,26133,0.26133
92.095,26255,0.26255
92.539,26378,0.26378
93.205,26561,0.26561
93.871,26745,0.26745
94.537,26929,0.26929
95.203,27112,0.27112
95.87,27296,0.27296
96.87,27571,0.27571
97.87,27847,0.27847
98.87,28122,0.28122
99.871,28397,0.28397
100.87,28672,0.28672
102.37,29084,0.29084
103.13,29290,0.2929
103.37,29357,0.29357
103.62,29424,0.29424
103.86,29491,0.29491
104.11,29559,0.29559
104.35,29626,0.29626
104.72,29727,0.29727
105.09,29828,0.29828
105.46,29928,0.29928
105.83,30029,0.30029
106.19,30130,0.3013
106.75,30280,0.3028
107.31,30427,0.30427
107.89,30570,0.3057
108.47,30709,0.30709
109.07,30843,0.30843
109.68,30974,0.30974
110.6,31162,0.31162
111.55,31340,0.3134
112.53,31508,0.31508
113.53,31666,0.31666
114.55,31811,0.31811
115.59,31940,0.3194
116.65,32057,0.32057
117.01,32093,0.32093
117.33,32121,0.32121
117.64,32151,0.32151
117.96,32180,0.3218
118.27,32206,0.32206
118.59,32233,0.32233
118.91,32259,0.32259
119.23,32283,0.32283
119.55,32308,0.32308
119.87,32328,0.32328
120.19,32350,0.3235
120.52,32370,0.3237
120.84,32387,0.32387
121.16,32405,0.32405
121.32,32414,0.32414
121.39,32410,0.3241
121.44,32412,0.32412
121.5,32416,0.32416
121.56,32417,0.32417
121.66,32423,0.32423
