Optimization Data
 
Start time: 2026-05-18 19:40:28 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [1.194352, 0.455978, 0.0194275, 0.2992355, 0.015769500000000002] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [238.87, 91.20, 3.89, 59.85, 3.15]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 250.64, 238.87 ,91.20 ,3.89 ,59.85 ,3.15, NA, NA, NA, 50.129,50.079,50.079,50.079,50.788
1, 2, 251.27, 240.06 ,91.20 ,3.89 ,59.85 ,3.15, NA, NA, NA, 50.256,50.205,50.205,50.205,50.915
1, 3, 251.17, 238.87 ,91.65 ,3.89 ,59.85 ,3.15, NA, NA, NA, 50.235,50.185,50.185,50.185,50.898
1, 4, 251.12, 238.87 ,91.20 ,3.90 ,59.85 ,3.15, NA, NA, NA, 50.226,50.176,50.176,50.176,50.888
1, 5, 249.85, 238.87 ,91.20 ,3.89 ,59.55 ,3.15, NA, NA, NA, 49.972,49.922,49.922,49.922,50.631
1, 6, 251.34, 238.87 ,91.20 ,3.89 ,59.85 ,3.17, NA, NA, NA, 50.269,50.219,50.219,50.219,50.928
1, 7, 226.06, 228.87 ,88.21 ,3.76 ,58.10 ,2.95, NA, NA, NA, 45.214,45.167,45.167,45.167,45.830
2, 8, 226.63, 230.06 ,88.21 ,3.76 ,58.10 ,2.95, NA, NA, NA, 45.329,45.282,45.282,45.282,45.945
2, 9, 226.57, 228.87 ,88.67 ,3.76 ,58.10 ,2.95, NA, NA, NA, 45.316,45.269,45.269,45.269,45.937
2, 10, 226.53, 228.87 ,88.21 ,3.78 ,58.10 ,2.95, NA, NA, NA, 45.308,45.260,45.260,45.260,45.928
