MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.164754E+02     1.137802E+01     1.848027E+02     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     9.280705E+01     1.137802E+01     1.375538E+02     5.942669E-01     4.876730E+00     1.000000E+00 
    2     3     2     9.236064E+01     1.168886E+01     1.378359E+02     1.768850E-05     3.385441E-01     1.000000E+00 
    3     4     3     8.853696E+01     1.161463E+01     1.393005E+02     2.985417E-03     9.915244E-06     1.000000E+00 
    4     5     4     7.108908E+01     1.135251E+01     1.467312E+02     1.623251E-02     1.461488E-03     1.000000E+00 
    5     6     5     5.117655E+01     1.006740E+01     1.602386E+02     0.000000E+00     3.973254E-03     1.000000E+00 
    6     7     6     5.113904E+01     7.715266E+00     1.603709E+02     3.679140E-01     0.000000E+00     1.000000E+00 
    7    18     7     4.864859E+01     7.715266E+00     1.835780E+02     2.724075E+00     2.798535E+00     1.000000E+00 
    8    19     8     4.926670E+01     6.930173E+00     1.764120E+02     3.059456E-01     6.781277E+00     1.000000E+00 
    9    20     9     5.089699E+01     7.108496E+00     1.800619E+02     4.126780E-01     2.784708E+00     1.000000E+00 
   10    31    10     5.123710E+01     7.108496E+00     1.803268E+02     3.814661E-01     2.949203E+00     1.000000E+00 
   11    35    11     5.158255E+01     7.111934E+00     1.807885E+02     3.442355E-01     3.498272E+00     1.000000E+00 
   12    37    12     5.024743E+01     7.090383E+00     1.771568E+02     4.144153E-01     2.429573E+00     1.000000E+00 
   13    39    13     4.977861E+01     7.109832E+00     1.768883E+02     5.282914E-01     1.659751E+00     1.000000E+00 
   14    41    14     5.008261E+01     7.140446E+00     1.711347E+02     8.041327E-01     1.139999E+00     1.000000E+00 
