NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
          1.      0.11073873E+06      0.16955330E+06     -0.97335550E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
          2.      0.11073873E+06      0.16632450E+06     -0.96361156E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
          3.      0.11073873E+06      0.16309570E+06     -0.95386756E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
          4.      0.11073873E+06      0.15986691E+06     -0.94412356E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
          5.      0.11073873E+06      0.15663812E+06     -0.93437962E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
          6.      0.11073873E+06      0.15340933E+06     -0.92463562E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
          7.      0.11073873E+06      0.15018053E+06     -0.91489162E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
          8.      0.11073873E+06      0.14695173E+06     -0.90514769E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
          9.      0.11073873E+06      0.14372294E+06     -0.89540369E+06     -0.10079977E+04     -0.33401321E+03      0.14608378E+06      0.00000000E+00
NS ColMember_2.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         10.      0.11066025E+06      0.14893898E+06     -0.89731006E+06     -0.10367091E+04     -0.20228824E+04      0.15689306E+06      0.87000000E+02
         11.      0.11066025E+06      0.13376736E+06     -0.88953475E+06     -0.10367091E+04     -0.20228824E+04      0.15689306E+06      0.87000000E+02
NS ColMember_3.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         12.      0.11012578E+06     -0.37979150E+06      0.73420312E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         13.      0.11012578E+06     -0.36264712E+06      0.73872956E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         14.      0.11012578E+06     -0.34550272E+06      0.74325600E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         15.      0.11012578E+06     -0.32835834E+06      0.74778244E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         16.      0.11012578E+06     -0.31121397E+06      0.75230894E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         17.      0.11012578E+06     -0.29406956E+06      0.75683538E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         18.      0.11012578E+06     -0.27692519E+06      0.76136181E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         19.      0.11012578E+06     -0.25978080E+06      0.76588825E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         20.      0.11012578E+06     -0.24263641E+06      0.77041469E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         21.      0.11012578E+06     -0.22549203E+06      0.77494112E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         22.      0.11012578E+06     -0.20834764E+06      0.77946756E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         23.      0.11012578E+06     -0.19120325E+06      0.78399406E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         24.      0.11012578E+06     -0.17405888E+06      0.78852050E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         25.      0.11012578E+06     -0.15691448E+06      0.79304694E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         26.      0.11012578E+06     -0.13977009E+06      0.79757338E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         27.      0.11012578E+06     -0.12262571E+06      0.80209981E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         28.      0.11012578E+06     -0.10548133E+06      0.80662625E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         29.      0.11012578E+06     -0.88336938E+05      0.81115269E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         30.      0.11012578E+06     -0.71192555E+05      0.81567919E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         31.      0.11012578E+06     -0.54048168E+05      0.82020562E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
         32.      0.11012578E+06     -0.36903781E+05      0.82473206E+06     -0.45264465E+03      0.17144386E+04      0.15811172E+06      0.10200000E+03
