NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
          1.      0.10923537E+06      0.17542083E+06     -0.10783745E+07     -0.13435336E+04     -0.37546762E+03      0.15044175E+06      0.00000000E+00
          2.      0.10923552E+06      0.17179602E+06     -0.10654472E+07     -0.13312697E+04     -0.37345261E+03      0.15044175E+06      0.00000000E+00
          3.      0.10923568E+06      0.16819055E+06     -0.10526378E+07     -0.13191530E+04     -0.37147919E+03      0.15044175E+06      0.00000000E+00
          4.      0.10923584E+06      0.16460403E+06     -0.10399447E+07     -0.13071823E+04     -0.36954721E+03      0.15044175E+06      0.00000000E+00
          5.      0.10923598E+06      0.16103603E+06     -0.10273667E+07     -0.12953561E+04     -0.36765640E+03      0.15044175E+06      0.00000000E+00
          6.      0.10923612E+06      0.15748617E+06     -0.10149022E+07     -0.12836732E+04     -0.36580661E+03      0.15044175E+06      0.00000000E+00
          7.      0.10923627E+06      0.15395406E+06     -0.10025500E+07     -0.12721323E+04     -0.36399756E+03      0.15044175E+06      0.00000000E+00
          8.      0.10923641E+06      0.15043930E+06     -0.99030862E+06     -0.12607323E+04     -0.36222910E+03      0.15044175E+06      0.00000000E+00
          9.      0.10923655E+06      0.14694150E+06     -0.97817681E+06     -0.12494716E+04     -0.36050101E+03      0.15044175E+06      0.00000000E+00
NS ColMember_2.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         10.      0.10914722E+06      0.15283570E+06     -0.97960025E+06     -0.13298496E+04     -0.20083781E+04      0.16121580E+06      0.87000000E+02
         11.      0.10914735E+06      0.13777405E+06     -0.96965931E+06     -0.13212339E+04     -0.20070658E+04      0.16121580E+06      0.87000000E+02
NS ColMember_3.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]            Y_LOC   
         12.      0.10867414E+06     -0.38316488E+06      0.75614769E+06     -0.50400116E+03      0.17725808E+04      0.16165128E+06      0.10200000E+03
         13.      0.10867417E+06     -0.36545728E+06      0.76123412E+06     -0.51289990E+03      0.17681821E+04      0.16165128E+06      0.10200000E+03
         14.      0.10867420E+06     -0.34779256E+06      0.76640975E+06     -0.52185919E+03      0.17639921E+04      0.16165127E+06      0.10200000E+03
         15.      0.10867422E+06     -0.33016872E+06      0.77167519E+06     -0.53088013E+03      0.17600101E+04      0.16165127E+06      0.10200000E+03
         16.      0.10867423E+06     -0.31258359E+06      0.77703100E+06     -0.53996368E+03      0.17562357E+04      0.16165127E+06      0.10200000E+03
         17.      0.10867425E+06     -0.29503516E+06      0.78247794E+06     -0.54911102E+03      0.17526686E+04      0.16165127E+06      0.10200000E+03
         18.      0.10867426E+06     -0.27752134E+06      0.78801656E+06     -0.55832312E+03      0.17493082E+04      0.16165127E+06      0.10200000E+03
         19.      0.10867426E+06     -0.26004005E+06      0.79364756E+06     -0.56760107E+03      0.17461542E+04      0.16165127E+06      0.10200000E+03
         20.      0.10867426E+06     -0.24258925E+06      0.79937156E+06     -0.57694604E+03      0.17432062E+04      0.16165127E+06      0.10200000E+03
         21.      0.10867425E+06     -0.22516686E+06      0.80518925E+06     -0.58635901E+03      0.17404637E+04      0.16165127E+06      0.10200000E+03
         22.      0.10867424E+06     -0.20777084E+06      0.81110138E+06     -0.59584119E+03      0.17379268E+04      0.16165127E+06      0.10200000E+03
         23.      0.10867423E+06     -0.19039914E+06      0.81710850E+06     -0.60539362E+03      0.17355948E+04      0.16165127E+06      0.10200000E+03
         24.      0.10867420E+06     -0.17304970E+06      0.82321150E+06     -0.61501746E+03      0.17334677E+04      0.16165127E+06      0.10200000E+03
         25.      0.10867418E+06     -0.15572048E+06      0.82941094E+06     -0.62471381E+03      0.17315449E+04      0.16165127E+06      0.10200000E+03
         26.      0.10867415E+06     -0.13840944E+06      0.83570762E+06     -0.63448383E+03      0.17298265E+04      0.16165127E+06      0.10200000E+03
         27.      0.10867412E+06     -0.12111452E+06      0.84210231E+06     -0.64432861E+03      0.17283123E+04      0.16165127E+06      0.10200000E+03
         28.      0.10867408E+06     -0.10383369E+06      0.84859575E+06     -0.65424939E+03      0.17270020E+04      0.16165127E+06      0.10200000E+03
         29.      0.10867403E+06     -0.86564906E+05      0.85518869E+06     -0.66424725E+03      0.17258953E+04      0.16165127E+06      0.10200000E+03
