NS ColMember_1.
    ElemID              NF [N]              My [Nmm]            Mz [Nmm]            Vy [N]              Vz [N]              T [N/mm]
          1.     -0.26468450E+04      0.12102231E+04      0.15420275E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
          2.     -0.26468450E+04      0.11948416E+04      0.15274326E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
          3.     -0.26468450E+04      0.11794600E+04      0.15128376E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
          4.     -0.26468450E+04      0.11640784E+04      0.14982427E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
          5.     -0.26468450E+04      0.11486968E+04      0.14836478E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
          6.     -0.26468450E+04      0.11333152E+04      0.14690529E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
          7.     -0.26468450E+04      0.11179336E+04      0.14544579E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
          8.     -0.26468450E+04      0.11025520E+04      0.14398630E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
          9.     -0.26468450E+04      0.10871705E+04      0.14252681E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         10.     -0.26468450E+04      0.10717889E+04      0.14106731E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         11.     -0.26468450E+04      0.10564073E+04      0.13960782E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         12.     -0.26468450E+04      0.10410258E+04      0.13814833E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         13.     -0.26468450E+04      0.10256442E+04      0.13668883E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         14.     -0.26468450E+04      0.10102626E+04      0.13522935E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         15.     -0.26468450E+04      0.99488098E+03      0.13376985E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         16.     -0.26468450E+04      0.97949939E+03      0.13231035E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         17.     -0.26468450E+04      0.96411780E+03      0.13085087E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         18.     -0.26468450E+04      0.94873627E+03      0.12939137E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         19.     -0.26468450E+04      0.93335468E+03      0.12793187E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         20.     -0.26468450E+04      0.91797308E+03      0.12647238E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         21.     -0.26468450E+04      0.90259149E+03      0.12501289E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         22.     -0.26468450E+04      0.88720990E+03      0.12355339E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         23.     -0.26468450E+04      0.87182831E+03      0.12209390E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
         24.     -0.26468450E+04      0.85644672E+03      0.12063441E+04     -0.41393322E+02     -0.15381582E+01      0.14594932E+01
