X-Directional Deformation,Load
0,0
2.470618,999.175
4.946348,1998.588
8.663759,3495.837
14.24835,5737.518
22.64411,9090.651
35.27922,14099.44
54.32207,21566.27
83.08655,32662.62
129.5065,47655.56
134.9113,48361.54
142.24,48872.86
149.1656,49016.96
156.2101,49062.45
163.7414,49067.95
163.9676,49068.12
164.1956,49068.98
164.3676,49068.4
164.5387,49066.85
164.7965,49067.51
164.8932,49066.69
164.9891,49065.7
165.0855,49066.85
165.1826,49065.37
165.2812,49066.89
165.3812,49068.06
165.4778,49063.94
165.5807,49065.93
165.6333,49066.16
165.685,49063.44
165.7399,49064.85
165.7973,49064.07
165.8543,49063.6
165.9111,49063.02
165.9682,49062.75
166.0544,49063
166.1839,49063.3
166.3123,49062.4
166.4084,49061.27
166.5051,49062.55
166.5785,49060.35
166.6543,49061.07
166.7292,49060.04
166.7803,49051.29
166.8509,49057.93
166.8708,49056.51
166.8961,49058.21
166.936,49058.98
166.9754,49058.34
167.0347,49057.74
167.094,49057.13
167.1536,49056.58
167.2433,49056.6
167.3784,49056.89
167.5114,49053.74
167.5791,49054.83
167.6487,49055.35
167.6835,49054.55
167.7172,49051.18
167.7734,49052.08
167.8177,49055.49
167.8607,49051.47
167.9468,49052.39
168.0321,49049.11
168.1182,49048.44
168.2043,49047.52
168.2904,49046.48
168.4196,49044.97
168.6133,49042.56
168.9041,49038.41
169.3401,49030.96
169.9943,49015.71
170.9729,48976.35
172.3887,48811.79
173.6081,48414.82
174.6078,47733.32
175.4208,46949.22
175.4228,46948.09
175.4234,46947.66
