Optimization Data
 
Start time: 2026-05-13 18:29:09 
 
Solver Options:
Method: PySLSQP 
# acc: 0.001 
# finite_diff_abs_step: [0.022106070000000002, 0.0093906, 0.00032080000000000005, 0.0047488700000000005, 0.00056908] 
# maxiter: 60 
# Aggregate: P-norm 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
Design Variables and Bounds 
# x0 = [221.06, 93.91, 3.21, 47.49, 5.69]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108] 
 x[2] (t0) bounds = [2.5, 5] 
 x[3] (d1) bounds = [25, 60.0] 
 x[4] (t1) bounds = [2, 6] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 272.78, 221.06 ,93.91 ,3.21 ,47.49 ,5.69, 0.0000, 0.0000, 1.0000, 54.557,54.514,54.514,54.514,55.122
0, 2, 272.93, 221.28 ,93.91 ,3.21 ,47.49 ,5.69, 0.0000, 0.0000, 1.0000, 54.588,54.545,54.545,54.545,55.153
0, 3, 272.87, 221.06 ,94.00 ,3.21 ,47.49 ,5.69, 0.0000, 0.0000, 1.0000, 54.575,54.532,54.532,54.532,55.141
0, 4, 272.86, 221.06 ,93.91 ,3.21 ,47.49 ,5.69, 0.0000, 0.0000, 1.0000, 54.574,54.531,54.531,54.531,55.140
0, 5, 272.99, 221.06 ,93.91 ,3.21 ,47.54 ,5.69, 0.0000, 0.0000, 1.0000, 54.599,54.556,54.556,54.556,55.165
0, 6, 272.94, 221.06 ,93.91 ,3.21 ,47.49 ,5.70, 0.0000, 0.0000, 1.0000, 54.589,54.546,54.546,54.546,55.155
0, 7, 272.78, 221.06 ,93.91 ,3.21 ,47.49 ,5.69, 0.0000, 0.0000, 1.0000, 54.557,54.514,54.514,54.514,55.122
0, 8, 272.93, 221.28 ,93.91 ,3.21 ,47.49 ,5.69, 0.0000, 0.0000, 1.0000, 54.588,54.545,54.545,54.545,55.153
0, 9, 272.87, 221.06 ,94.00 ,3.21 ,47.49 ,5.69, 0.0000, 0.0000, 1.0000, 54.575,54.532,54.532,54.532,55.141
0, 10, 272.86, 221.06 ,93.91 ,3.21 ,47.49 ,5.69, 0.0000, 0.0000, 1.0000, 54.574,54.531,54.531,54.531,55.140
0, 11, 272.99, 221.06 ,93.91 ,3.21 ,47.54 ,5.69, 0.0000, 0.0000, 1.0000, 54.599,54.556,54.556,54.556,55.165
0, 12, 272.94, 221.06 ,93.91 ,3.21 ,47.49 ,5.70, 0.0000, 0.0000, 1.0000, 54.589,54.546,54.546,54.546,55.155
0, 13, 193.07, 225.80 ,108.00 ,4.12 ,25.00 ,3.85, 0.0000, 0.0000, 1.0000, 38.617,38.554,38.554,38.554,39.449
1, 14, 193.13, 226.03 ,108.00 ,4.12 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.628,38.565,38.565,38.565,39.460
1, 15, 192.94, 225.80 ,107.89 ,4.12 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.590,38.527,38.527,38.527,39.421
1, 16, 193.20, 225.80 ,108.00 ,4.13 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.642,38.578,38.578,38.578,39.474
1, 17, 193.15, 225.80 ,108.00 ,4.12 ,25.02 ,3.85, 0.0000, 0.0000, 0.0000, 38.632,38.569,38.569,38.569,39.464
1, 18, 193.13, 225.80 ,108.00 ,4.12 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.628,38.564,38.564,38.564,39.459
1, 19, 193.07, 225.80 ,108.00 ,4.12 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.617,38.554,38.554,38.554,39.449
1, 20, 193.13, 226.03 ,108.00 ,4.12 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.628,38.565,38.565,38.565,39.460
1, 21, 192.94, 225.80 ,107.89 ,4.12 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.590,38.527,38.527,38.527,39.421
1, 22, 193.20, 225.80 ,108.00 ,4.13 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.642,38.578,38.578,38.578,39.474
1, 23, 193.15, 225.80 ,108.00 ,4.12 ,25.02 ,3.85, 0.0000, 0.0000, 0.0000, 38.632,38.569,38.569,38.569,39.464
1, 24, 193.13, 225.80 ,108.00 ,4.12 ,25.00 ,3.85, 0.0000, 0.0000, 0.0000, 38.628,38.564,38.564,38.564,39.459
1, 25, 129.72, 238.06 ,64.29 ,2.88 ,25.00 ,4.51, 0.0000, 0.0000, 0.0000, 25.945,25.919,25.919,25.919,26.289
2, 26, 129.79, 238.29 ,64.29 ,2.88 ,25.00 ,4.51, 0.0000, 0.0000, 0.0000, 25.958,25.932,25.932,25.932,26.302
2, 27, 129.78, 238.06 ,64.35 ,2.88 ,25.00 ,4.51, 0.0000, 0.0000, 0.0000, 25.956,25.930,25.930,25.930,26.300
2, 28, 129.77, 238.06 ,64.29 ,2.88 ,25.00 ,4.51, 0.0000, 0.0000, 0.0000, 25.955,25.929,25.929,25.929,26.299
2, 29, 129.82, 238.06 ,64.29 ,2.88 ,25.03 ,4.51, 0.0000, 0.0000, 0.0000, 25.964,25.938,25.938,25.938,26.307
2, 30, 129.78, 238.06 ,64.29 ,2.88 ,25.00 ,4.51, 0.0000, 0.0000, 0.0000, 25.957,25.931,25.931,25.931,26.300
2, 31, 129.72, 238.06 ,64.29 ,2.88 ,25.00 ,4.51, 0.0000, 0.0000, 0.0000, 25.945,25.919,25.919,25.919,26.289
2, 32, 129.79, 238.29 ,64.29 ,2.88 ,25.00 ,4.51, 0.0000, 0.0000, 0.0000, 25.958,25.932,25.932,25.932,26.302
