MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     2.051736E+02     4.469238E+01     5.248976E+01     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.245860E+02     4.469238E+01     3.042463E+01     9.986475E+00     1.032726E+03     1.000000E+00 
    2     3     2     8.755911E+01     3.078601E+01     3.755406E+01     3.534103E-02     5.483122E+01     1.000000E+00 
    3     4     3     7.379757E+01     2.282022E+01     3.853689E+01     0.000000E+00     3.456444E-01     1.000000E+00 
    4     5     4     7.378234E+01     2.165301E+01     3.854046E+01     1.302650E-01     0.000000E+00     1.000000E+00 
    5    16     5     7.407165E+01     2.165301E+01     3.856029E+01     3.796700E-02     2.755268E+00     1.000000E+00 
    6    17     6     7.434804E+01     2.195076E+01     3.858881E+01     1.954479E-02     7.191021E-01     1.000000E+00 
    7    18     7     7.469551E+01     2.233025E+01     3.856867E+01     3.654308E-03     5.388536E-01     1.000000E+00 
    8    19     8     7.478300E+01     2.242185E+01     3.857377E+01     9.428661E-04     1.046630E-01     1.000000E+00 
    9    30     9     7.480960E+01     2.242185E+01     3.856199E+01     2.287106E-04     1.163905E-01     1.000000E+00 
   10    41    10     7.480628E+01     2.242185E+01     3.856215E+01     3.534886E-04     1.158886E-01     1.000000E+00 
   11    43    11     7.481391E+01     2.243906E+01     3.856169E+01     9.110562E-05     1.116642E-01     1.000000E+00 
   12    44    12     7.483948E+01     2.248722E+01     3.856021E+01     0.000000E+00     3.391555E-02     1.000000E+00 
   13    45    13     7.482017E+01     2.250362E+01     3.856129E+01     0.000000E+00     0.000000E+00     1.000000E+00 
   14    46    14     7.472361E+01     2.249264E+01     3.856686E+01     6.036561E-04     0.000000E+00     1.000000E+00 
   15    47    15     7.475291E+01     2.243785E+01     3.856506E+01     1.208406E-03     4.386781E-02     1.000000E+00 
   16    58    16     7.481240E+01     2.243785E+01     3.856156E+01     9.313128E-05     1.379449E-01     1.000000E+00 
   17    59    17     7.483492E+01     2.249292E+01     3.856024E+01     0.000000E+00     2.752362E-02     1.000000E+00 
   18    60    18     7.481648E+01     2.250807E+01     3.856132E+01     0.000000E+00     0.000000E+00     1.000000E+00 
   19    61    19     7.472426E+01     2.249446E+01     3.856676E+01     3.924410E-04     0.000000E+00     1.000000E+00 
   20    62    20     7.474266E+01     2.243598E+01     3.856560E+01     1.435062E-03     2.422494E-02     1.000000E+00 
   21    73    21     7.480807E+01     2.243598E+01     3.856164E+01     1.814988E-04     1.229397E-01     1.000000E+00 
   22    74    22     7.483007E+01     2.249072E+01     3.856032E+01     0.000000E+00     2.633413E-02     1.000000E+00 
   23    75    23     7.481167E+01     2.251011E+01     3.856144E+01     3.555344E-05     0.000000E+00     1.000000E+00 
   24    76    24     7.482546E+01     2.249863E+01     3.856058E+01     0.000000E+00     1.586272E-02     1.000000E+00 
   25    77    25     7.481347E+01     2.250469E+01     3.856128E+01     1.855468E-05     0.000000E+00     1.000000E+00 
   26    78    26     7.482800E+01     2.249626E+01     3.856042E+01     0.000000E+00     1.806326E-02     1.000000E+00 
   27    79    27     7.481630E+01     2.250869E+01     3.856112E+01     0.000000E+00     0.000000E+00     1.000000E+00 
   28    80    28     7.475786E+01     2.250022E+01     3.856466E+01     2.611839E-04     0.000000E+00     1.000000E+00 
   29    83    28     7.481567E+01     2.250022E+01     3.856116E+01     0.000000E+00     0.000000E+00     1.948977E-01 
