Optimization Data
 
Start time: 2026-05-18 22:11:42 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [1.4291569999999998, 0.517553, 0.0226, 0.251724, 0.02198] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [285.83, 103.51, 4.52, 50.34, 4.40]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 330.85, 285.83 ,103.51 ,4.52 ,50.34 ,4.40, NA, NA, NA, 66.173,66.107,66.107,66.107,67.042
1, 2, 331.73, 287.26 ,103.51 ,4.52 ,50.34 ,4.40, NA, NA, NA, 66.348,66.282,66.282,66.282,67.217
1, 3, 331.56, 285.83 ,104.03 ,4.52 ,50.34 ,4.40, NA, NA, NA, 66.314,66.247,66.247,66.247,67.187
1, 4, 331.49, 285.83 ,103.51 ,4.54 ,50.34 ,4.40, NA, NA, NA, 66.301,66.235,66.235,66.235,67.175
1, 5, 331.93, 285.83 ,103.51 ,4.52 ,50.60 ,4.40, NA, NA, NA, 66.388,66.322,66.322,66.322,67.258
1, 6, 331.74, 285.83 ,103.51 ,4.52 ,50.34 ,4.42, NA, NA, NA, 66.351,66.285,66.285,66.285,67.220
1, 7, 302.47, 275.83 ,100.53 ,4.39 ,48.59 ,4.20, NA, NA, NA, 60.496,60.433,60.433,60.433,61.317
2, 8, 303.27, 277.26 ,100.53 ,4.39 ,48.59 ,4.20, NA, NA, NA, 60.656,60.594,60.594,60.594,61.477
2, 9, 303.15, 275.83 ,101.04 ,4.39 ,48.59 ,4.20, NA, NA, NA, 60.632,60.570,60.570,60.570,61.458
2, 10, 303.09, 275.83 ,100.53 ,4.42 ,48.59 ,4.20, NA, NA, NA, 60.620,60.558,60.558,60.558,61.445
2, 11, 303.46, 275.83 ,100.53 ,4.39 ,48.85 ,4.20, NA, NA, NA, 60.695,60.633,60.633,60.633,61.516
2, 12, 303.30, 275.83 ,100.53 ,4.39 ,48.59 ,4.22, NA, NA, NA, 60.662,60.600,60.600,60.600,61.483
2, 13, 273.26, 264.83 ,97.24 ,4.26 ,46.67 ,3.98, NA, NA, NA, 54.654,54.595,54.595,54.595,55.423
