eval_index,objective
1,107.122
2,107.122
3,107.124
4,107.122
5,107.124
6,71.460
7,88.972
8,88.974
9,88.974
10,88.970
11,88.973
12,84.582
13,84.582
14,84.585
15,84.582
16,84.584
17,85.718
18,84.928
19,84.697
20,84.617
21,84.594
22,84.588
23,84.583
24,84.583
25,84.585
26,84.583
27,84.585
28,85.130
29,85.128
30,85.132
31,85.130
32,85.132
33,132.622
34,103.890
35,93.023
36,88.548
37,86.628
38,85.789
39,85.421
40,85.260
41,85.188
42,85.156
43,85.141
44,85.141
45,85.143
46,85.141
47,85.143
48,85.064
49,85.065
50,85.067
51,85.065
52,85.066
