MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.067876E+02     2.659195E+01     3.541336E+01     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.837053E+01     2.659195E+01     2.059809E+02     2.090250E+02     3.818885E+00     1.000000E+00 
    2     3     2     6.628032E+01     2.733211E+01     9.210128E+01     9.317314E+01     1.732593E+00     1.000000E+00 
    3     4     3     2.166614E+01     2.685343E+01     3.431861E+01     3.699054E+01     3.542460E-01     1.000000E+00 
    4     5     4     4.262442E+01     1.973628E+01     9.654095E+00     1.442911E+00     2.217183E+01     1.000000E+00 
    5    16     5     6.969765E+01     1.973628E+01     3.345408E+01     1.174443E+00     9.613403E+01     1.000000E+00 
    6    17     6     7.582923E+01     1.816551E+01     3.197928E+01     9.765896E-02     2.103916E+01     1.000000E+00 
    7    18     7     5.456229E+01     1.814434E+01     1.890066E+02     1.945655E+02     3.955727E+00     1.000000E+00 
    8    20     8     5.170236E+01     1.814709E+01     1.793730E+02     1.852115E+02     3.545592E+00     1.000000E+00 
    9    22     9     5.413362E+01     1.810250E+01     1.819628E+02     1.873303E+02     2.092841E+00     1.000000E+00 
   10    24    10     7.069809E+01     1.808653E+01     2.509750E+01     2.431295E-03     3.403452E+00     1.000000E+00 
   11    25    11     5.339672E+01     1.791221E+01     5.930974E+01     6.096592E+01     1.391602E-01     1.000000E+00 
   12    27    12     6.861836E+01     1.783730E+01     2.115576E+01     3.199691E-03     3.514792E-01     1.000000E+00 
   13    28    13     4.243440E+01     1.787178E+01     1.314669E+01     1.064966E+01     8.926847E-02     1.000000E+00 
   14    30    14     6.483456E+01     1.806039E+01     1.610194E+01     1.878642E-01     4.638438E+00     1.000000E+00 
   15    31    15     6.622870E+01     1.801849E+01     1.718417E+01     2.354953E-03     1.950343E+00     1.000000E+00 
   16    32    16     2.614960E+01     1.781100E+01     5.398116E+01     5.026665E+01     1.918660E-01     1.000000E+00 
   17    35    17     6.543732E+01     1.778976E+01     1.572269E+01     1.148284E-02     1.496296E-01     1.000000E+00 
   18    36    18     6.463605E+01     1.772944E+01     1.520413E+01     1.291802E+00     6.576115E-01     1.000000E+00 
   19    39    19     6.273023E+01     1.773951E+01     1.550190E+01     9.806109E-01     4.814133E-01     1.000000E+00 
   20    41    20     6.365438E+01     1.786460E+01     1.384438E+01     7.335223E-01     1.696449E+00     1.000000E+00 
   21    43    21     6.582554E+01     1.786151E+01     1.613054E+01     1.223603E-02     1.925408E+00     1.000000E+00 
   22    45    22     6.584206E+01     1.780108E+01     1.577879E+01     3.345477E-02     9.956380E-01     1.000000E+00 
   23    56    23     6.594388E+01     1.780688E+01     1.597434E+01     1.161072E-02     1.037025E+00     1.000000E+00 
   24    58    24     6.598443E+01     1.779400E+01     1.592352E+01     7.659760E-03     8.286543E-01     1.000000E+00 
   25    60    25     6.606539E+01     1.779255E+01     1.600671E+01     3.617609E-03     4.780745E-01     1.000000E+00 
   26    61    26     6.609911E+01     1.776473E+01     1.602926E+01     3.214197E-05     3.636985E-02     1.000000E+00 
   27    62    27     6.606249E+01     1.777160E+01     1.601852E+01     9.713898E-04     1.011097E-04     1.000000E+00 
   28    63    28     6.608614E+01     1.777160E+01     1.602873E+01     3.089008E-03     3.724556E-02     1.000000E+00 
   29    67    29     6.609477E+01     1.777160E+01     1.602388E+01     4.141799E-04     3.562822E-02     1.000000E+00 
   30    68    30     6.606799E+01     1.777160E+01     1.603159E+01     4.624659E-04     2.132898E-03     1.000000E+00 
   31    72    30     6.609255E+01     1.777160E+01     1.602452E+01     3.218482E-04     0.000000E+00     5.523575E-01 
