=== Objective + Design Summary ===

 Start [kg]  End [kg]  Improvement [%]  x0_start  x1_start  x2_start  x3_start  x4_start  x0_end  x1_end  x2_end  x3_end  x4_end
     107.89     74.81           30.661    302.10    105.28      2.85     43.79      5.61  246.92   49.71     2.5    25.0     2.0
     107.89     74.81           30.661    194.32    101.10      3.51     54.88      2.80  246.91   49.71     2.5    25.0     2.0
     107.89     74.81           30.661    159.65     76.73      3.62     31.11      5.07  246.92   49.71     2.5    25.0     2.0
     107.89     74.81           30.661    289.10     67.52      3.93     37.71      2.75  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    259.41     99.72      2.98     25.33      3.66  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    266.99     50.30      3.20     52.17      4.80  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    273.75     75.07      3.78     54.19      4.30  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    321.35     87.56      3.39     27.90      4.69  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    183.02     60.68      4.39     26.56      4.24  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    174.44     85.75      4.67     46.76      2.23  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    229.83     49.92      4.55     48.34      3.82  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    315.29     58.88      3.53     42.74      3.50  246.91   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    180.07     81.94      2.62     36.40      4.55  246.93   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    329.91     62.46      4.84     49.55      2.61  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    211.43     95.97      4.74     32.55      5.44  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    205.30     69.13      2.77     53.19      4.04  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    234.46     71.94      4.95     42.36      4.99  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    338.59     54.35      4.08     32.77      5.79  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    276.41     74.04      2.54     34.81      3.00  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    344.65     98.12      3.72     38.75      3.90  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    217.53     56.28      3.31     29.41      2.28  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    153.52     92.41      4.21     41.28      3.11  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    189.55     64.22      4.02     58.30      5.90  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    294.97     79.14      4.90     29.19      3.42  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    166.43     52.85      3.06     44.94      3.36  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    221.06     93.91      3.21     47.49      5.69  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    285.83    103.51      4.52     50.34      4.40  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    312.36     84.89      4.36     55.92      5.23  246.92   49.71     2.5    25.0     2.0
     107.89     74.85           30.624    332.76     81.36      2.89     57.64      2.09  246.92   49.71     2.5    25.0     2.0
     107.89     74.86           30.615    245.82     65.28      2.71     40.06      5.31  244.23   50.22     2.5    25.0     2.0
     107.89     74.91           30.568    250.15    107.08      4.28     35.53      2.39  254.37   48.43     2.5    25.0     2.0
     107.89     74.95           30.531    238.87     91.20      3.89     59.85      3.15  237.09   51.64     2.5    25.0     2.0
