rad_mm	eigenvalue	mass_kg
150.00	7.258280	98.737
151.00	7.328780	98.894
152.00	7.398670	99.051
153.00	7.469790	99.209
154.00	7.540770	99.366
155.00	7.612350	99.524
156.00	7.683410	99.682
157.00	7.754940	99.840
158.00	7.826900	99.999
159.00	7.898430	100.157
160.00	7.971500	100.316
161.00	8.043640	100.475
162.00	8.116580	100.634
163.00	8.189760	100.793
164.00	8.262940	100.952
165.00	8.337120	101.111
166.00	8.410060	101.271
167.00	8.484520	101.431
168.00	8.558480	101.591
169.00	8.632640	101.751
170.00	8.707420	101.911
171.00	8.782150	102.071
172.00	8.857710	102.232
173.00	8.932730	102.392
174.00	9.008570	102.553
175.00	9.083720	102.714
176.00	9.159260	102.875
177.00	9.235590	103.037
178.00	9.311310	103.198
179.00	9.387990	103.360
180.00	9.464490	103.521
181.00	9.541150	103.683
182.00	9.617380	103.845
183.00	9.694600	104.007
184.00	9.772140	104.169
185.00	9.848980	104.331
186.00	9.926750	104.494
187.00	10.003910	104.656
188.00	10.081830	104.819
189.00	10.159940	104.982
190.00	10.237560	105.145
191.00	10.315690	105.308
192.00	10.393840	105.471
193.00	10.472560	105.635
194.00	10.550650	105.798
195.00	10.629600	105.962
196.00	10.708600	106.125
197.00	10.787080	106.289
198.00	10.865780	106.453
199.00	10.944830	106.617
200.00	11.024130	106.781
201.00	11.102830	106.946
202.00	11.182870	107.110
203.00	11.262120	107.274
204.00	11.341280	107.439
205.00	11.421130	107.604
206.00	11.500550	107.769
207.00	11.580480	107.934
208.00	11.660230	108.099
209.00	11.740110	108.264
210.00	11.820280	108.429
211.00	11.899960	108.594
212.00	11.979820	108.760
213.00	12.059950	108.925
214.00	12.140420	109.091
215.00	12.220850	109.257
216.00	12.300750	109.423
217.00	12.381020	109.589
218.00	12.461280	109.755
219.00	12.541990	109.921
220.00	12.622220	110.087
221.00	12.702490	110.254
222.00	12.782750	110.420
223.00	12.863350	110.587
224.00	12.943950	110.753
225.00	13.024020	110.920
226.00	13.104650	111.087
227.00	13.185190	111.254
228.00	13.265400	111.421
229.00	13.346640	111.588
230.00	13.426790	111.755
231.00	13.507340	111.923
232.00	13.587490	112.090
233.00	13.668100	112.257
234.00	13.748650	112.425
235.00	13.828980	112.593
236.00	13.909550	112.760
237.00	13.989390	112.928
238.00	14.070490	113.096
239.00	14.150690	113.264
240.00	14.231020	113.432
241.00	14.311190	113.600
242.00	14.391630	113.768
243.00	14.471340	113.937
244.00	14.551810	114.105
245.00	14.632360	114.273
246.00	14.711990	114.442
247.00	14.791490	114.611
248.00	14.871720	114.779
249.00	14.951710	114.948
250.00	15.031500	115.117
251.00	15.111010	115.286
252.00	15.190610	115.455
253.00	15.270510	115.624
254.00	15.350060	115.793
255.00	15.429290	115.962
256.00	15.508690	116.131
257.00	15.588200	116.301
258.00	15.667530	116.470
259.00	15.746370	116.640
260.00	15.825230	116.809
261.00	15.904500	116.979
262.00	15.983410	117.148
263.00	16.062000	117.318
264.00	16.140530	117.488
265.00	16.219130	117.658
266.00	16.297410	117.828
267.00	16.376130	117.998
268.00	16.454140	118.168
269.00	16.532540	118.338
270.00	16.610760	118.508
271.00	16.688290	118.679
272.00	16.766200	118.849
273.00	16.843590	119.019
274.00	16.921620	119.190
275.00	16.998890	119.360
276.00	17.076140	119.531
277.00	17.153330	119.702
278.00	17.230400	119.872
279.00	17.307340	120.043
280.00	17.383990	120.214
281.00	17.460610	120.385
282.00	17.538050	120.556
283.00	17.614050	120.727
284.00	17.690110	120.898
285.00	17.766600	121.069
286.00	17.842480	121.240
287.00	17.918290	121.411
288.00	17.993840	121.582
289.00	18.069170	121.754
290.00	18.144590	121.925
291.00	18.219910	122.097
292.00	18.294800	122.268
293.00	18.369990	122.440
294.00	18.444790	122.611
295.00	18.519510	122.783
296.00	18.593850	122.955
297.00	18.668320	123.126
298.00	18.742580	123.298
299.00	18.816440	123.470
300.00	18.889760	123.642
301.00	18.963840	123.814
302.00	19.037280	123.986
303.00	19.110390	124.158
304.00	19.183680	124.330
305.00	19.256910	124.502
306.00	19.329470	124.674
307.00	19.401960	124.847
308.00	19.474430	125.019
309.00	19.546690	125.191
310.00	19.618810	125.364
311.00	19.690790	125.536
312.00	19.762540	125.709
313.00	19.834160	125.881
314.00	19.905340	126.054
315.00	19.976690	126.226
316.00	20.047550	126.399
317.00	20.118050	126.572
318.00	20.189300	126.745
319.00	20.259590	126.917
320.00	20.329410	127.090
321.00	20.399980	127.263
322.00	20.469550	127.436
323.00	20.539450	127.609
324.00	20.609310	127.782
325.00	20.678080	127.955
326.00	20.747190	128.128
327.00	20.816210	128.301
328.00	20.884910	128.474
329.00	20.953890	128.648
330.00	21.022070	128.821
331.00	21.090150	128.994
332.00	21.157850	129.168
333.00	21.225900	129.341
334.00	21.293740	129.514
335.00	21.360690	129.688
336.00	21.428010	129.861
337.00	21.494820	130.035
