! Search Space Points 
Method: LHS 
Points per Dimension: 2 
Number of Simulations: 32 
discrepancy score: 0.0060 
 
Active Design Variables and Bounds: 
 rad: [150.0, 350.0] 
 d0: [48.3, 108] 
 t0: [2.5, 5] 
 d1: [25, 60] 
 t1: [2, 6] 

Points: 
  rad  d0  t0  d1  t1
<<<<<<< HEAD
  312.3575  76.7735  5.4737  45.3413  3.2472
  285.8314  95.4880  5.8479  38.9655  2.4361
  234.4584  63.7565  6.8911  29.8399  3.0179
  302.0980  97.2645  1.8471  31.4715  3.6243
  221.0607  85.8352  2.6992  35.7014  3.6985
  166.4325  44.5765  2.3390  32.7938  1.4291
  332.7620  73.2227  1.9430  47.2984  0.1851
  194.3214  93.0630  3.4255  44.1469  0.8811
=======
  259.4126  99.7187  2.9802  25.3310  3.6646
  266.9914  50.3023  3.1963  52.1750  4.7966
  273.7506  75.0720  3.7764  54.1896  4.3015
  321.3494  87.5554  3.3933  27.9019  4.6937
  180.0658  81.9419  2.6202  36.3977  4.5457
  329.9088  62.4628  4.8403  49.5470  2.6107
  211.4338  95.9679  4.7402  32.5508  5.4413
  205.2980  69.1340  2.7718  53.1893  4.0413
  183.0194  60.6844  4.3895  26.5622  4.2448
  174.4372  85.7522  4.6650  46.7619  2.2325
  229.8298  49.9232  4.5547  48.3353  3.8196
  238.8704  91.1956  3.8855  59.8471  3.1539
  315.2901  58.8752  3.5323  42.7376  3.5048
  276.4128  74.0412  2.5410  34.8100  2.9973
  245.8225  65.2844  2.7106  40.0566  5.3124
  344.6462  98.1241  3.7151  38.7461  3.9027
  294.9702  79.1367  4.8980  29.1924  3.4210
  189.5485  64.2199  4.0181  58.3003  5.9027
  289.0952  67.5228  3.9282  37.7083  2.7472
  217.5335  56.2805  3.3079  29.4087  2.2770
  153.5178  92.4136  4.2122  41.2772  3.1114
  250.1524  107.0845  4.2756  35.5323  2.3872
  159.6514  76.7300  3.6216  31.1077  5.0704
  338.5857  54.3474  4.0791  32.7731  5.7869
  312.3575  84.8896  4.3640  55.9236  5.2279
  285.8314  103.5106  4.5200  50.3448  4.3960
  234.4584  71.9377  4.9546  42.3599  4.9927
  302.0980  105.2782  2.8529  43.7876  5.6147
  221.0607  93.9060  3.2080  47.4887  5.6908
  166.4325  52.8536  3.0579  44.9445  3.3632
  332.7620  81.3566  2.8929  57.6361  2.0873
  194.3214  101.0977  3.5106  54.8785  2.8011
>>>>>>> 75a056ffe4b842365cf2b3a89945592b8ad7b959
