Optimization Data
 
Start time: 2026-05-14 15:08:33 
 
Solver Options:
Method: PySLSQP 
# acc: 0.001 
# finite_diff_abs_step: [0.02114338, 0.009596790000000001, 0.00047402, 0.0032550800000000005, 0.00054413] 
# maxiter: 80 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
Design Variables and Bounds 
# x0 = [211.43, 95.97, 4.74, 32.55, 5.44]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25, 60.0] 
 x[4] (t1) bounds = [2, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 240.63, 211.43 ,95.97 ,4.74 ,32.55 ,5.44, NA, NA, 1.0000, 48.128,48.064,48.064,48.064,48.968
0, 2, 240.72, 211.65 ,95.97 ,4.74 ,32.55 ,5.44, NA, NA, 1.0000, 48.146,48.082,48.082,48.082,48.986
0, 3, 240.76, 211.43 ,96.06 ,4.74 ,32.55 ,5.44, NA, NA, 1.0000, 48.155,48.091,48.091,48.091,48.996
0, 4, 240.75, 211.43 ,95.97 ,4.74 ,32.55 ,5.44, NA, NA, 1.0000, 48.152,48.088,48.088,48.088,48.993
0, 5, 240.76, 211.43 ,95.97 ,4.74 ,32.58 ,5.44, NA, NA, 1.0000, 48.154,48.090,48.090,48.090,48.994
0, 6, 240.72, 211.43 ,95.97 ,4.74 ,32.55 ,5.45, NA, NA, 1.0000, 48.146,48.082,48.082,48.082,48.986
0, 7, 240.63, 211.43 ,95.97 ,4.74 ,32.55 ,5.44, NA, NA, 1.0000, 48.128,48.064,48.064,48.064,48.968
0, 8, 240.72, 211.65 ,95.97 ,4.74 ,32.55 ,5.44, NA, NA, 1.0000, 48.146,48.082,48.082,48.082,48.986
0, 9, 240.76, 211.43 ,96.06 ,4.74 ,32.55 ,5.44, NA, NA, 1.0000, 48.155,48.091,48.091,48.091,48.996
0, 10, 240.75, 211.43 ,95.97 ,4.74 ,32.55 ,5.44, NA, NA, 1.0000, 48.152,48.088,48.088,48.088,48.993
0, 11, 240.76, 211.43 ,95.97 ,4.74 ,32.58 ,5.44, NA, NA, 1.0000, 48.154,48.090,48.090,48.090,48.994
0, 12, 240.72, 211.43 ,95.97 ,4.74 ,32.55 ,5.45, NA, NA, 1.0000, 48.146,48.082,48.082,48.082,48.986
0, 13, 125.42, 210.20 ,88.10 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.086,25.041,25.041,25.041,25.675
1, 14, 125.45, 210.41 ,88.10 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.091,25.047,25.047,25.047,25.681
1, 15, 125.52, 210.20 ,88.19 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.105,25.060,25.060,25.060,25.694
1, 16, 125.51, 210.20 ,88.10 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.103,25.058,25.058,25.058,25.693
1, 17, 125.46, 210.20 ,88.10 ,3.59 ,25.02 ,2.00, NA, NA, 1.0000, 25.093,25.048,25.048,25.048,25.682
1, 18, 125.45, 210.20 ,88.10 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.092,25.047,25.047,25.047,25.681
1, 19, 125.42, 210.20 ,88.10 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.086,25.041,25.041,25.041,25.675
1, 20, 125.45, 210.41 ,88.10 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.091,25.047,25.047,25.047,25.681
1, 21, 125.52, 210.20 ,88.19 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.105,25.060,25.060,25.060,25.694
1, 22, 125.51, 210.20 ,88.10 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.103,25.058,25.058,25.058,25.693
1, 23, 125.46, 210.20 ,88.10 ,3.59 ,25.02 ,2.00, NA, NA, 1.0000, 25.093,25.048,25.048,25.048,25.682
1, 24, 125.45, 210.20 ,88.10 ,3.59 ,25.00 ,2.00, NA, NA, 1.0000, 25.092,25.047,25.047,25.047,25.681
1, 25, 112.87, 209.38 ,80.08 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.576,22.537,22.537,22.537,23.084
2, 26, 112.90, 209.59 ,80.08 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.581,22.543,22.543,22.543,23.090
2, 27, 112.95, 209.38 ,80.16 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.592,22.553,22.553,22.553,23.101
2, 28, 112.95, 209.38 ,80.08 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.591,22.552,22.552,22.552,23.100
2, 29, 112.91, 209.38 ,80.08 ,3.42 ,25.02 ,2.00, NA, NA, 1.0000, 22.583,22.544,22.544,22.544,23.092
2, 30, 112.90, 209.38 ,80.08 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.582,22.543,22.543,22.543,23.091
2, 31, 112.87, 209.38 ,80.08 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.576,22.537,22.537,22.537,23.084
2, 32, 112.90, 209.59 ,80.08 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.581,22.543,22.543,22.543,23.090
2, 33, 112.95, 209.38 ,80.16 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.592,22.553,22.553,22.553,23.101
2, 34, 112.95, 209.38 ,80.08 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.591,22.552,22.552,22.552,23.100
2, 35, 112.91, 209.38 ,80.08 ,3.42 ,25.02 ,2.00, NA, NA, 1.0000, 22.583,22.544,22.544,22.544,23.092
2, 36, 112.90, 209.38 ,80.08 ,3.42 ,25.00 ,2.00, NA, NA, 1.0000, 22.582,22.543,22.543,22.543,23.091
2, 37, 111.33, 209.18 ,79.39 ,3.38 ,25.00 ,2.00, NA, NA, 1.0000, 22.267,22.229,22.229,22.229,22.766
3, 38, 111.36, 209.39 ,79.39 ,3.38 ,25.00 ,2.00, NA, NA, 1.0000, 22.273,22.235,22.235,22.235,22.771
3, 39, 111.41, 209.18 ,79.47 ,3.38 ,25.00 ,2.00, NA, NA, 1.0000, 22.283,22.245,22.245,22.245,22.782
3, 40, 111.40, 209.18 ,79.39 ,3.38 ,25.00 ,2.00, NA, NA, 1.0000, 22.282,22.244,22.244,22.244,22.781
3, 41, 111.37, 209.18 ,79.39 ,3.38 ,25.03 ,2.00, NA, NA, 1.0000, 22.274,22.236,22.236,22.236,22.773
3, 42, 111.36, 209.18 ,79.39 ,3.38 ,25.00 ,2.00, NA, NA, 1.0000, 22.273,22.235,22.235,22.235,22.772
3, 43, 111.33, 209.18 ,79.39 ,3.38 ,25.00 ,2.00, NA, NA, 1.0000, 22.267,22.229,22.229,22.229,22.766
