MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     2.051736E+02     4.469238E+01     8.100393E+01     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.245860E+02     4.469238E+01     6.800622E+01     9.986475E+00     1.032726E+03     1.000000E+00 
    2     3     2     8.755911E+01     3.078601E+01     7.026378E+01     3.534103E-02     5.483122E+01     1.000000E+00 
    3     4     3     7.872872E+01     2.282022E+01     6.996355E+01     4.079095E-02     3.384676E-01     1.000000E+00 
    4     5     4     7.904467E+01     2.209239E+01     6.996402E+01     1.052474E-05     3.631139E-01     1.000000E+00 
    5     6     5     7.886679E+01     2.216416E+01     6.999515E+01     1.575455E-02     4.815394E-04     1.000000E+00 
    6     7     6     7.882943E+01     2.239551E+01     6.998840E+01     3.230076E-05     4.361301E-02     1.000000E+00 
    7     8     7     7.856960E+01     2.239015E+01     7.000347E+01     1.242392E-04     1.164887E-03     1.000000E+00 
    8     9     8     7.687373E+01     2.238855E+01     7.018543E+01     3.261013E-02     1.384214E-04     1.000000E+00 
    9    10     9     7.464704E+01     2.166256E+01     7.062978E+01     5.930051E-01     3.329847E-01     1.000000E+00 
   10    11    10     7.529136E+01     2.110314E+01     7.058553E+01     2.608336E-03     1.702191E+00     1.000000E+00 
   11    12    11     7.462335E+01     2.157014E+01     7.056036E+01     2.785893E-02     5.438204E-02     1.000000E+00 
   12    13    12     7.481231E+01     2.243365E+01     7.055676E+01     1.279625E-05     2.872239E-01     1.000000E+00 
   13    14    13     7.481182E+01     2.250367E+01     7.055845E+01     1.074830E-05     2.929910E-04     1.000000E+00 
   14    14    13     7.481182E+01     2.250367E+01     7.055845E+01     1.074830E-05     0.000000E+00     1.000000E+00 
