Optimization Data
 
Start time: 2026-05-18 18:14:34 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [1.649544, 0.31231400000000004, 0.0242015, 0.24773499999999998, 0.0130535] 
# maxiter: 150 
# Aggregate: None 
# p_value: 8 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.1 
# backtrack_max: 8 
# feasibility_tol: 1e-05 
# penalty_weight: 1 
Design Variables and Bounds 
# x0 = [329.91, 62.46, 4.84, 49.55, 2.61]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 108.0] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [25.0, 60.0] 
 x[4] (t1) bounds = [2.0, 6.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 219.40, 329.91 ,62.46 ,4.84 ,49.55 ,2.61, NA, NA, NA, 43.882,43.840,43.840,43.840,44.423
1, 2, 220.02, 331.56 ,62.46 ,4.84 ,49.55 ,2.61, NA, NA, NA, 44.005,43.964,43.964,43.964,44.547
1, 3, 219.85, 329.91 ,62.78 ,4.84 ,49.55 ,2.61, NA, NA, NA, 43.972,43.931,43.931,43.931,44.517
1, 4, 219.78, 329.91 ,62.46 ,4.86 ,49.55 ,2.61, NA, NA, NA, 43.958,43.917,43.917,43.917,44.503
1, 5, 220.12, 329.91 ,62.46 ,4.84 ,49.79 ,2.61, NA, NA, NA, 44.025,43.984,43.984,43.984,44.567
1, 6, 220.04, 329.91 ,62.46 ,4.84 ,49.55 ,2.62, NA, NA, NA, 44.010,43.968,43.968,43.968,44.551
1, 7, 195.31, 319.91 ,59.48 ,4.72 ,47.80 ,2.41, NA, NA, NA, 39.064,39.026,39.026,39.026,39.565
2, 8, 195.86, 321.56 ,59.48 ,4.72 ,47.80 ,2.41, NA, NA, NA, 39.174,39.136,39.136,39.136,39.676
2, 9, 195.75, 319.91 ,59.79 ,4.72 ,47.80 ,2.41, NA, NA, NA, 39.152,39.114,39.114,39.114,39.657
2, 10, 195.68, 319.91 ,59.48 ,4.74 ,47.80 ,2.41, NA, NA, NA, 39.136,39.098,39.098,39.098,39.640
2, 11, 195.95, 319.91 ,59.48 ,4.72 ,48.04 ,2.41, NA, NA, NA, 39.192,39.154,39.154,39.154,39.694
2, 12, 195.92, 319.91 ,59.48 ,4.72 ,47.80 ,2.42, NA, NA, NA, 39.184,39.146,39.146,39.146,39.686
2, 13, 170.74, 308.91 ,56.19 ,4.58 ,45.87 ,2.19, NA, NA, NA, 34.150,34.115,34.115,34.115,34.609
3, 14, 171.23, 310.56 ,56.19 ,4.58 ,45.87 ,2.19, NA, NA, NA, 34.246,34.211,34.211,34.211,34.705
3, 15, 171.17, 308.91 ,56.51 ,4.58 ,45.87 ,2.19, NA, NA, NA, 34.236,34.201,34.201,34.201,34.698
3, 16, 171.09, 308.91 ,56.19 ,4.60 ,45.87 ,2.19, NA, NA, NA, 34.218,34.183,34.183,34.183,34.680
3, 17, 171.31, 308.91 ,56.19 ,4.58 ,46.12 ,2.19, NA, NA, NA, 34.263,34.228,34.228,34.228,34.722
3, 18, 171.31, 308.91 ,56.19 ,4.58 ,45.87 ,2.20, NA, NA, NA, 34.263,34.228,34.228,34.228,34.722
3, 19, 148.02, 296.81 ,52.58 ,4.43 ,43.75 ,2.00, NA, NA, NA, 29.605,29.574,29.574,29.574,30.019
4, 20, 148.44, 298.46 ,52.58 ,4.43 ,43.75 ,2.00, NA, NA, NA, 29.689,29.657,29.657,29.657,30.103
4, 21, 148.44, 296.81 ,52.89 ,4.43 ,43.75 ,2.00, NA, NA, NA, 29.688,29.657,29.657,29.657,30.105
4, 22, 148.34, 296.81 ,52.58 ,4.45 ,43.75 ,2.00, NA, NA, NA, 29.669,29.637,29.637,29.637,30.085
4, 23, 148.52, 296.81 ,52.58 ,4.43 ,44.00 ,2.00, NA, NA, NA, 29.705,29.673,29.673,29.673,30.119
4, 24, 148.54, 296.81 ,52.58 ,4.43 ,43.75 ,2.01, NA, NA, NA, 29.710,29.678,29.678,29.678,30.124
4, 25, 132.88, 283.50 ,48.61 ,4.26 ,41.43 ,2.00, NA, NA, NA, 26.577,26.549,26.549,26.549,26.944
5, 26, 133.27, 285.15 ,48.61 ,4.26 ,41.43 ,2.00, NA, NA, NA, 26.656,26.628,26.628,26.628,27.023
5, 27, 133.28, 283.50 ,48.92 ,4.26 ,41.43 ,2.00, NA, NA, NA, 26.657,26.629,26.629,26.629,27.027
5, 28, 133.17, 283.50 ,48.61 ,4.28 ,41.43 ,2.00, NA, NA, NA, 26.635,26.607,26.607,26.607,27.004
5, 29, 133.36, 283.50 ,48.61 ,4.26 ,41.67 ,2.00, NA, NA, NA, 26.673,26.645,26.645,26.645,27.040
