Optimization Data
 
Start time: 2026-04-29 13:18:03 
 
Solver Options:
Method: Self-Written-slp_mvp 
# acc: 0.001 
# finite_diff_abs_step: [0.5, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01] 
# maxiter: 60 
# Aggregate: KS 
# p_value: 1 
# rho_value: 100 
# relaxation: 0 
Design Variables and Bounds 
# x0 = [202.07, 76.10, 76.10, 76.10, 76.10, 76.10, 3.00, 3.00, 3.00, 3.00, 3.00, 26.90, 26.90, 26.90, 26.90, 26.90, 2.30, 2.30, 2.30, 2.30, 2.30, 26.90, 26.90, 26.90, 26.90, 26.90, 2.30, 2.30, 2.30, 2.30, 2.30]
 x[0] (rad) bounds = [150.0, 300.0] 
 x[1] (d0_1) bounds = [50.0, 100] 
 x[2] (d0_2) bounds = [50.0, 100] 
 x[3] (d0_3) bounds = [50.0, 100] 
 x[4] (d0_4) bounds = [50.0, 100] 
 x[5] (d0_5) bounds = [50.0, 100] 
 x[6] (t0_1) bounds = [1.0, 7.0] 
 x[7] (t0_2) bounds = [1.0, 7.0] 
 x[8] (t0_3) bounds = [1.0, 7.0] 
 x[9] (t0_4) bounds = [1.0, 7.0] 
 x[10] (t0_5) bounds = [1.0, 7.0] 
 x[11] (d1_h_1) bounds = [10.0, 40.0] 
 x[12] (d1_h_2) bounds = [10.0, 40.0] 
 x[13] (d1_h_3) bounds = [10.0, 40.0] 
 x[14] (d1_h_4) bounds = [10.0, 40.0] 
 x[15] (d1_h_5) bounds = [10.0, 40.0] 
 x[16] (t1_h_1) bounds = [1.0, 4.5] 
 x[17] (t1_h_2) bounds = [1.0, 4.5] 
 x[18] (t1_h_3) bounds = [1.0, 4.5] 
 x[19] (t1_h_4) bounds = [1.0, 4.5] 
 x[20] (t1_h_5) bounds = [1.0, 4.5] 
 x[21] (d1_c_1) bounds = [10.0, 40.0] 
 x[22] (d1_c_2) bounds = [10.0, 40.0] 
 x[23] (d1_c_3) bounds = [10.0, 40.0] 
 x[24] (d1_c_4) bounds = [10.0, 40.0] 
 x[25] (d1_c_5) bounds = [10.0, 40.0] 
 x[26] (t1_c_1) bounds = [1.0, 4.5] 
 x[27] (t1_c_2) bounds = [1.0, 4.5] 
 x[28] (t1_c_3) bounds = [1.0, 4.5] 
 x[29] (t1_c_4) bounds = [1.0, 4.5] 
 x[30] (t1_c_5) bounds = [1.0, 4.5] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,g_max,v_agg
