! Search Space Points 
Method: LHS 
Points per Dimension: 2 
Number of Simulations: 32 
discrepancy score: 0.0158 
 
Active Design Variables and Bounds: 
 rad: [150.0, 350.0] 
 d0: [40.0, 100.0] 
 t0: [1.0, 7.0] 
 d1: [10.0, 50.0] 
 t1: [0.1, 7.0] 

Points: 
  rad  d0  t0  d1  t1
  276.4128  91.6771  2.3390  10.3783  2.4516
  250.1524  68.5729  3.4776  29.8399  4.7466
  166.4325  42.0123  3.6918  31.4715  3.2388
  229.8298  85.8352  3.4255  38.9655  2.5513
  332.7620  84.3353  1.9430  18.8836  6.8322
  217.5335  55.9999  6.6168  41.0571  2.9715
  289.0952  73.8109  6.3764  22.0369  6.0363
  180.0658  41.6314  1.0983  42.2164  3.6212
  153.5178  60.9387  5.9312  43.3595  4.2330
  294.9702  76.7735  6.1959  44.1469  0.5011
  273.7506  83.1112  4.7900  36.6689  6.6323
  238.8704  97.2645  4.6434  49.8253  1.1534
  245.8225  70.9917  3.1440  32.7938  4.4913
  315.2901  44.5765  1.5055  21.2115  5.3965
  329.9088  54.2340  2.1525  27.2076  5.2624
  266.9914  90.0745  4.0634  38.0537  0.5778
  302.0980  95.4880  5.5349  14.7913  1.3889
  174.4372  48.0206  1.2884  47.2984  5.8138
  205.2980  59.3194  3.9163  24.5237  0.2506
  221.0607  52.4466  2.6711  28.6025  2.6957
  194.3214  93.0630  4.3251  15.0385  3.3821
  183.0194  87.9074  5.2615  18.6295  0.7679
  159.6514  65.8706  6.7551  23.0260  5.6681
  344.6462  46.0778  4.4276  25.7099  4.9241
  321.3494  66.9065  5.1092  16.9802  3.9723
  259.4126  63.7565  5.8479  34.8707  4.0702
  211.4338  77.6404  6.8911  13.3164  1.4820
  312.3575  79.4527  1.8471  30.2716  6.3353
  234.4584  99.0799  2.6992  11.7853  6.4667
  285.8314  50.6283  1.6524  35.7014  1.8203
  338.5857  57.0697  5.4737  48.0575  2.0172
  189.5485  73.2227  2.9389  45.3413  2.0905
